submission_id,dilemma_rating,both_infos,ingroup_norm,ingroup_agree,outgroup_disagree,dilemma_type
2887,2,1,-1,1,1,real_dilemma
2887,3,1,1,1,1,philosophical_dilemma
2885,3,1,-1,1,1,real_dilemma
2885,2,1,-1,1,1,philosophical_dilemma
2884,6,0,1,1,1,real_dilemma
2884,5,0,1,1,1,philosophical_dilemma
2883,2,1,-1,1,1,real_dilemma
2883,4,1,1,1,1,philosophical_dilemma
2881,1,1,-1,1,1,real_dilemma
2881,6,1,-1,1,1,philosophical_dilemma
2880,3,1,1,1,1,real_dilemma
2880,4,1,1,1,1,philosophical_dilemma
2879,6,1,-1,1,1,real_dilemma
2879,1,1,1,1,1,philosophical_dilemma
2878,3,0,-1,1,1,real_dilemma
2878,1,0,-1,1,1,philosophical_dilemma
2872,4,0,1,1,1,real_dilemma
2872,2,0,1,1,1,philosophical_dilemma
2871,3,0,-1,1,1,real_dilemma
2871,4,0,1,1,1,philosophical_dilemma
2870,3,1,-1,1,0,real_dilemma
2870,1,1,-1,1,0,philosophical_dilemma
2869,2,0,-1,1,1,real_dilemma
2869,2,0,1,1,1,philosophical_dilemma
2867,4,1,-1,1,1,real_dilemma
2867,1,1,1,1,1,philosophical_dilemma
2865,3,1,-1,1,1,real_dilemma
2865,1,1,-1,1,1,philosophical_dilemma
2864,5,0,-1,1,1,real_dilemma
2864,1,0,-1,1,1,philosophical_dilemma
2863,4,1,-1,1,1,real_dilemma
2863,2,1,-1,1,1,philosophical_dilemma
2860,2,0,-1,1,1,real_dilemma
2860,1,0,-1,1,1,philosophical_dilemma
2859,5,0,1,1,1,real_dilemma
2859,2,0,-1,1,1,philosophical_dilemma
2857,2,0,-1,1,1,real_dilemma
2857,6,0,1,1,1,philosophical_dilemma
2856,4,0,-1,1,1,real_dilemma
2856,4,0,-1,1,1,philosophical_dilemma
2855,5,0,1,1,1,real_dilemma
2855,6,0,-1,1,1,philosophical_dilemma
2854,5,1,-1,1,1,real_dilemma
2854,2,1,1,1,1,philosophical_dilemma
2853,4,1,-1,1,1,real_dilemma
2853,3,1,1,1,1,philosophical_dilemma
2852,3,0,1,1,1,real_dilemma
2852,2,0,1,1,1,philosophical_dilemma
2850,3,1,-1,1,1,real_dilemma
2850,5,1,1,1,1,philosophical_dilemma
2849,1,1,-1,1,1,real_dilemma
2849,5,1,1,1,1,philosophical_dilemma
2848,3,1,1,1,0,real_dilemma
2848,2,1,1,1,0,philosophical_dilemma
2847,6,1,1,1,0,real_dilemma
2847,2,1,-1,1,0,philosophical_dilemma
2845,1,1,1,1,1,real_dilemma
2845,4,1,-1,1,1,philosophical_dilemma
2844,2,0,-1,1,1,real_dilemma
2844,2,0,1,1,1,philosophical_dilemma
2843,2,0,1,1,1,real_dilemma
2843,5,0,1,1,1,philosophical_dilemma
2839,2,0,-1,1,1,real_dilemma
2839,3,0,1,1,1,philosophical_dilemma
2837,2,1,1,1,0,real_dilemma
2837,1,1,-1,1,0,philosophical_dilemma
2836,5,0,-1,1,1,real_dilemma
2836,1,0,-1,1,1,philosophical_dilemma
2835,4,1,-1,0,0,real_dilemma
2835,2,1,-1,0,0,philosophical_dilemma
2834,5,1,1,1,1,real_dilemma
2834,2,1,1,1,1,philosophical_dilemma
2833,2,0,1,1,0,real_dilemma
2833,6,0,-1,1,0,philosophical_dilemma
2832,3,1,1,1,1,real_dilemma
2832,3,1,-1,1,1,philosophical_dilemma
2830,5,1,1,1,1,real_dilemma
2830,3,1,-1,1,1,philosophical_dilemma
2829,2,1,1,1,1,real_dilemma
2829,1,1,-1,1,1,philosophical_dilemma
2827,5,1,1,1,0,real_dilemma
2827,4,1,-1,1,0,philosophical_dilemma
2826,4,0,-1,0,0,real_dilemma
2826,3,0,1,0,0,philosophical_dilemma
2823,3,1,-1,1,1,real_dilemma
2823,1,1,1,1,1,philosophical_dilemma
2822,3,0,-1,1,1,real_dilemma
2822,6,0,-1,1,1,philosophical_dilemma
2821,6,1,-1,1,1,real_dilemma
2821,2,1,-1,1,1,philosophical_dilemma
2819,4,0,-1,1,1,real_dilemma
2819,2,0,-1,1,1,philosophical_dilemma
2818,4,0,1,1,1,real_dilemma
2818,1,0,-1,1,1,philosophical_dilemma
2817,1,1,-1,1,1,real_dilemma
2817,1,1,1,1,1,philosophical_dilemma
2816,4,1,1,1,1,real_dilemma
2816,4,1,1,1,1,philosophical_dilemma
2814,4,1,-1,0,0,real_dilemma
2814,4,1,1,0,0,philosophical_dilemma
2813,6,0,-1,1,1,real_dilemma
2813,1,0,1,1,1,philosophical_dilemma
2811,4,1,1,1,1,real_dilemma
2811,4,1,-1,1,1,philosophical_dilemma
2810,3,1,-1,0,1,real_dilemma
2810,4,1,-1,0,1,philosophical_dilemma
